ProductID,Description,Country,Category,UnitPrice,CustomerID
22605,WOODEN CROQUET GARDEN SET,United Kingdom,Hobi,224250,13030
47504,ENGLISH ROSE GARDEN SECATEURS,United Kingdom,Hobi,29250,15460
22824,3 TIER SWEETHEART GARDEN SHELF,United Kingdom,Hobi,539250,15464
22525,CHILDRENS GARDEN GLOVES PINK,Australia,Hobi,15900,12415
22487,WHITE WOOD GARDEN PLANT LADDER,United Kingdom,Hobi,149250,16473
22275,"Dell 27 LED backlit LCD Monitor SE2719H IPS Full HD 1080p 1920 x 1080 at 60 Hz HDMI VGA,Black",United Kingdom,Elektronik,2250000,13952
22106,"LG 24M47VQ 24-Inch LED-lit Monitor, Black",United Kingdom,Elektronik,1500000,13920
21938,"Ring Stick Up Cam Battery HD security camera with custom privacy controls, Simple setup, Works with Alexa - Black",United Kingdom,Elektronik,1499850,13888
21769,"Amazon Basics Microwave, Small, 0.7 Cu. Ft, 700W, Works with Alexa",United Kingdom,Elektronik,899850,13855
21601,"Apple TV 4K (32GB, Latest Model)",United Kingdom,Elektronik,2535000,13823
33076,"Acer SB220Q bi 21.5 Inches Full HD (1920 x 1080) IPS Ultra-Thin Zero Frame Monitor (HDMI & VGA Port), Black",United Kingdom,Elektronik,1409850,13791
29143,All-new Echo Dot (4th Gen) | Smart speaker with clock and Alexa | Glacier White,United Kingdom,Elektronik,824850,13758
24118,Insignia NS-32DF310NA19 32-inch Smart HD TV - Fire TV Edition,United Kingdom,Elektronik,2099850,13726
24290,"Roku Smart Soundbar, 4K/HD/HDR Streaming Media Player & Exceptional Audio Includes Roku Voice Remote",France,Elektronik,2549100,13693
25013,Standard USB 2.0 Cable AM To AF Extension For Computer,France,Elektronik,37440,13751
26109,M90 Wired Mouse,United Kingdom,Elektronik,52020,13722
24776,K120 USB Keyboard Wired,United Kingdom,Elektronik,114480,13694
27681,Zeb Rise Wired 1200 DPI USB Optical High Precision Mouse,United Kingdom,Elektronik,30240,13666
25891,"Rechargeable Battery AA 700 Mah With Charger, BP4",United Kingdom,Elektronik,113220,13637
23123,Eneloop Rechargeable Battery AA,United Kingdom,Elektronik,71820,13609
22141,2 Pin Twist 5 Meter Extension Box 1084,United Kingdom,Elektronik,62820,13580
23551,4 Socket Power Strip/Cord With 2 Meter Wire 1079,United Kingdom,Elektronik,77220,13552
24145,"Panasonic Portable AM / FM Radio, Battery Operated Analog Radio, AC Powered, Silver (RF-2400D)",United Kingdom,Elektronik,434850,13524
26459,"havit HV-F2056 15.6""-17"" Laptop Cooler Cooling Pad - Slim Portable USB Powered (3 Fans), Black/Blue",United Kingdom,Elektronik,280200,13495
22901,"HP Chromebook 14-inch HD Laptop, Intel Celeron N4000, 4 GB RAM, 32 GB eMMC, Chrome (14a-na0020nr, Ceramic White)",United Kingdom,Elektronik,3167700,13467
85014,RED RETROSPOT UMBRELLA,Australia,Travel,90000,12431
21709,FOLDING UMBRELLA CHOCOLATE POLKADOT,United Kingdom,Travel,75000,18011
21786,POLKADOT RAIN HAT,Norway,Travel,6300,12433
23391,I LOVE LONDON MINI BACKPACK,United Kingdom,Travel,62250,17837
84872,TEATIME FUNKY FLOWER BACKPACK FOR 2,United Kingdom,Travel,254250,14534
21738,COSY SLIPPER SHOES SMALL RED,United Kingdom,Travel,44250,17920
21739,COSY SLIPPER SHOES SMALL GREEN,United Kingdom,Travel,44250,17920
51008,AFGHAN SLIPPER SOCK PAIR,United Kingdom,Travel,51750,13569
22633,HAND WARMER UNION JACK,United Kingdom,Travel,27750,17850
22866,HAND WARMER SCOTTY DOG DESIGN,United Kingdom,Travel,27750,13408
22632,HAND WARMER RED POLKA DOT,United Kingdom,Travel,27750,17850
22867,HAND WARMER BIRD DESIGN,Netherlands,Travel,27750,12791
70007,HI TEC ALPINE HAND WARMER,United Kingdom,Travel,24750,17897
22311,OFFICE MUG WARMER BLACK+SILVER,United Kingdom,Travel,44250,13263
20780,BLACK EAR MUFF HEADPHONES,United Kingdom,Travel,82350,14606
22654,DELUXE SEWING KIT,United Kingdom,Travel,74250,17511
22652,TRAVEL SEWING KIT,United Kingdom,Travel,24750,13408
84874,BLUE TRAVEL FIRST AID KIT,United Kingdom,Travel,24750,16326
21787,RAIN PONCHO RETROSPOT,France,Travel,12750,12567
21785,RAIN PONCHO,United Kingdom,Travel,12750,12748
30987,Women Fashion Loose Lace Blouse V Neck Bat Sleeves T Shirt Hollow Out Tops Plus Size XS-8XL,United Kingdom,Baju,105000,13163
87192,Plus Size 4XL 5XL Chinese Clothing Shirts for Men Cotton Linen Shirt Tops Summer,United Kingdom,Baju,210000,12848
32349,Trend Summer New Design Letter Printed Women T-shirts Deep V-neck Sleeveless Shirts Casual Tank Tops,United Kingdom,Baju,120000,12533
29478,Women Summer Printed Plus Size Loose Casual Trousers Harlan Pants Long Pants,United Kingdom,Baju,165000,12217
21562,HAWAIIAN GRASS SKIRT,United Kingdom,Baju,18750,15805
29842,Fashion Women Summer Sleeveless Dresses V Neck Backless Lace Dress Ladies Beach Dresses White Dress,Netherlands,Baju,195000,17542
24644,Summer mens cool sport suit Sports Wear Casual Jogging Suits Short Sleeve Outfit Sets,United Kingdom,Baju,240000,16437
34987,Summer Fashion Men'S Sport Athletic Shorts Pants Men Casual Print,United Kingdom,Baju,195000,15234
22913,RED COAT PARIS FASHION,United Kingdom,Baju,74250,13047
22912,YELLOW COAT PARIS FASHION,United Kingdom,Baju,74250,13047
22914,BLUE COAT PARIS FASHION,United Kingdom,Baju,74250,14307
49886,EthnoVogue Women Beige & Grey Made to Measure Custom Made Kurta Set with Jacket,United Kingdom,Baju,1045800,14679
29890,Parx Men Brown Tapered Fit Solid Regular Trousers,Netherlands,Baju,119520,13787
27659,SPYKAR Women Blue Adora Skinny Fit Mid-Rise Low Distress Ankle-length Stretchable Jeans,United Kingdom,Baju,202320,18761
25987,Campus Sutra Men White & Blue Regular Fit Colourblocked Casual Shirt,United Kingdom,Baju,86220,17937
25988,ColorPlus Men Blue Regular Fit Checked Formal Trousers,United Kingdom,Baju,215820,17313
22457,Campus Sutra Men Red & Black Standard Regular Fit Checked Casual Shirt,United Kingdom,Baju,125820,13098
48768,HARBORNBAY Women Red & Silver Printed Round Neck T-shirt,United Kingdom,Baju,72180,14981
43298,Hypernation Women Blue Solid Open Front Shrug,United Kingdom,Baju,143460,13087
38981,Ginger by Lifestyle Women White Regular Fit Printed Casual Shirt,United Kingdom,Baju,188820,14087
32818,Piano (Malcom Mendis Piano),United Kingdom,Musik,6370000,13524
32819,Yamaha Semi Acoustic Guitars,United Kingdom,Musik,1764000,13524
32820,Yamaha PSR 433 Keyboard,United Kingdom,Musik,2695000,13524
32821,Yamaha SL380 Les Paul Electric Guitar,United Kingdom,Musik,3822000,12567
32822,Yamaha SL400 Les Paul Electric Guitar,United Kingdom,Musik,3822000,12567
32823,Supreme Lark violin,United Kingdom,Musik,294000,12567
32824,YAMAHA PSR -EW400 keyboard,United Kingdom,Musik,3528000,16473
32825,Tascam US122MKII USB Audio/Midi Interface,United Kingdom,Musik,661500,16473
32826,Clayderman Piano ( Peterson Center ),United Kingdom,Musik,8085000,14156
32827,Saxophone - Soprano,United Kingdom,Musik,3430000,14156
32828,Yamaha Clavinova CVP-206 Digital Piano,United Kingdom,Musik,9310000,14307
32829,Electric Drum Set ( Brand New ),United Kingdom,Musik,906500,16402
32830,Yamaha CX40 Classical Guitar,United Kingdom,Musik,1225000,15365
32831,Acoustic Guitar Parkwood W81-OP,United Kingdom,Musik,931000,17050
32832,KORG AX1000G Multi effect pedal,United Kingdom,Musik,980000,16418
32833,Greco 4 strings Bass guitar (powered),United Kingdom,Musik,2205000,16418
32834,Music Man Stingray 3 EQ H American Bass Guitar,United Kingdom,Musik,13475000,16418
32835,Denon Amplifier,United Kingdom,Musik,1225000,16244
32836,Olan 450W Buffels with Amplifier,United Kingdom,Musik,2450000,16244
32837,Rowell Trumpet with Box ( Silver ),United Kingdom,Musik,882000,16244
45178,"Mountain Bike-100 Silver, 38",United Kingdom,Transportasi,51000000,16255
45179,"Mountain Bike-100 Black, 48",United Kingdom,Transportasi,50625000,13268
45180,"Mountain Bike-200 Silver, 38",United Kingdom,Transportasi,34800000,17841
45181,"Mountain Bike-100 Black, 44",France,Transportasi,50625000,14390
45182,"Mountain Bike-200 Black, 46",United Kingdom,Transportasi,34425000,14390
45183,"Mountain Bike-400-W Silver, 46",United Kingdom,Transportasi,11535000,14646
45184,"Mountain Bike-500 Silver, 40",Germany,Transportasi,8475000,14390
45185,"Mountain Bike-500 Silver, 44",United Kingdom,Transportasi,8475000,13108
45186,"Road Bike-750 Black, 58",United Kingdom,Transportasi,8100000,14646
45187,"Road Bike-150 Red, 62",United Kingdom,Transportasi,53670000,13108
45624,Chevrolet Cavalier,United Kingdom,Transportasi,198900000,15525
45625,Chevrolet Malibu,United Kingdom,Transportasi,248025000,13722
45626,Chevrolet Metro,United Kingdom,Transportasi,138525000,13524
45627,Saturn SL,United Kingdom,Transportasi,160275000,13569
45628,Toyota Tacoma,United Kingdom,Transportasi,172920000,15365
45629,Nissan Sentra,United Kingdom,Transportasi,202485000,13524
45630,Mitsubishi Mirage,United Kingdom,Transportasi,209805000,14388
45631,Hyundai Elantra,United Kingdom,Transportasi,176985000,13569
45632,Hyundai Accent,United Kingdom,Transportasi,145485000,15805
45633,Dodge Viper,United Kingdom,Transportasi,1045875000,15464
21980,Canon PowerShot 350,United Kingdom,Kamera,2235000,12533
21981,Canon PowerShot 600,United Kingdom,Kamera,2085000,17920
21982,Canon PowerShot A300,United Kingdom,Kamera,2085000,16244
21983,Canon EOS 20Da,United Kingdom,Kamera,19485000,13855
21984,Canon EOS D30,United Kingdom,Kamera,8235000,13726
21985,Canon PowerShot Pro70,United Kingdom,Kamera,2985000,12433
21986,Canon PowerShot S500,United Kingdom,Kamera,2235000,13666
21987,Canon PowerShot SX100 IS,United Kingdom,Kamera,4485000,13030
21988,Casio Exilim EX-P505,United Kingdom,Kamera,3735000,14679
21989,Casio Exilim EX-V7,United Kingdom,Kamera,4485000,17841
21990,Casio Exilim EX-S770,United Kingdom,Kamera,3735000,13108
21991,Casio Exilim EX-Z750,United Kingdom,Kamera,4935000,15460
21992,Epson PhotoPC L-500V,France,Kamera,2385000,12567
21993,Epson PhotoPC 500,United Kingdom,Kamera,3435000,13772
21994,Fujifilm FinePix 40i,United Kingdom,Kamera,2535000,17850
21995,Fujifilm Finepix 30i,United Kingdom,Kamera,2985000,18011
21996,Fujifilm FinePix 3800,Norway,Kamera,5985000,12433
21997,Fujifilm FinePix F10 Zoom,United Kingdom,Kamera,2685000,13467
21998,Fujifilm FinePix F410 Zoom,United Kingdom,Kamera,2535000,13552
21999,Fujifilm FinePix S3000 Z,United Kingdom,Kamera,3435000,13552
